###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57232.461512  18.111  1.383   207  286 o  0   1.99  10.93562  41.46442  6346.93  7297.28 3.71 3.29 -83.4 -0.459 17.12 17.55 02a57232o0271o
57232.470296 -17.451  7.121  -380 2705 o  0   1.98  10.93562  41.46442  6349.43  7299.25 3.67 3.23 -81.6 -0.472 15.07 14.98 02a57232o0283o
57232.483589  20.290  5.714    28  159 o  0   0.85  10.93562  41.46442  7840.39  5834.80 3.70 3.20 -88.3 -0.453 17.28 17.88 02a57232o0301o
57232.511928 -16.885  4.800  -640 3072 o  0   1.79  10.93562  41.46442  7857.50  5843.15 3.72 3.23  89.7 -0.440 15.73 16.24 02a57232o0325o
57300.376853  19.861  6.276    41  259 o  0   1.02  10.93562  41.46442  6388.12  7314.91 3.72 2.99 -82.5 -0.594 18.94 20.72 02a57300o0511o
57300.391172  21.797 53.400     7  370 o  0   1.12  10.93562  41.46442  6393.00  7318.57 3.87 3.13 -83.3 -0.675 18.91 20.78 02a57300o0553o
57302.359830 -19.969  0.930   -37   35 o  0   1.12  10.93562  41.46442  6404.61  7312.59 4.20 3.43 -76.2 -0.470 19.16 21.00 02a57302o0269o
57302.387046 -19.566  0.689   -54   37 o  0   0.98  10.93562  41.46442  6401.68  7320.74 4.19 3.59 -74.4 -0.472 19.10 20.93 02a57302o0310o
57302.407571 -19.695  0.745   -48   36 o  0   0.83  10.93562  41.46442  7890.05  5857.21 4.08 3.59 -85.4 -0.471 19.15 20.92 02a57302o0341o
57302.433015  20.263  1.206    28   34 o  0   0.96  10.93562  41.46442  2716.83  4768.00 4.08 3.40 -48.2 -0.496 19.17 20.93 02a57302o0380o
57304.370012  21.397  2.538    10   26 c  0   0.98  10.93562  41.46442  6410.56  7311.10 4.23 3.58 -78.5 -0.441 19.49 21.52 02a57304o0256c
57304.452537 -20.996  1.381   -14   20 c  0   1.18  10.93562  41.46442  2653.68  4756.82 3.90 3.56 -47.5 -0.433 19.61 21.66 02a57304o0367c
57316.375243 -20.273  1.176   -28   33 c  0   0.95  10.93562  41.46442  6478.47  7340.81 4.30 3.81 -77.5 -0.445 19.03 20.71 02a57316o0255c
57316.383065  20.851  1.765    17   29 c  0   1.06  10.93562  41.46442  4191.63  3302.95 4.91 4.22 -21.1 -0.394 19.01 20.75 02a57316o0267c
57316.408897 -21.336  2.833   -11   30 c  0   0.94  10.93562  41.46442  2692.96  4777.02 4.57 3.87 -43.0 -0.437 19.14 20.90 02a57316o0306c
57316.437679 -20.898  1.611   -16   26 c  0   0.96  10.93562  41.46442  2688.79  4778.26 4.56 3.85 -44.4 -0.434 19.39 21.42 02a57316o0349c
