###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59070.603865  17.310  0.040   433   17 o  0   1.23  68.84696  55.37619  4648.25  4857.80 2.91 2.67  -0.0 -0.358 19.00 20.12 01a59070o0803o
59070.608068  17.245  0.030   459   14 o  0   1.95  68.84696  55.37619  4627.94  4815.34 2.29 2.10  -4.2 -0.377 19.26 20.12 01a59070o0812o
59070.615958  17.263  0.032   452   14 o  0   1.17  68.84696  55.37619  4686.71  4889.28 2.28 2.10  -8.1 -0.366 19.22 20.08 01a59070o0829o
59070.628074  17.304  0.062   435   27 o  0   1.19  68.84696  55.37619  4707.27  4775.83 2.85 2.51  -0.1 -0.338 18.49 19.09 01a59070o0855o
59072.602923  17.208  0.034   475   16 o  0   1.31  68.84696  55.37619  7635.60  3741.37 2.14 1.90  46.6 -0.431 19.24 19.95 02a59072o0799o
59072.613088  17.262  0.037   452   16 o  0   1.21  68.84696  55.37619  7653.94  3778.74 2.23 1.90  43.5 -0.424 19.21 20.01 02a59072o0821o
59072.621805  17.268  0.035   450   16 o  0   1.53  68.84696  55.37619  7598.33  3703.04 2.04 1.91  50.4 -0.434 19.21 19.87 02a59072o0840o
59072.626861  17.173  0.049   491   24 o  0   0.64  68.84696  55.37619  7578.41  3820.36 2.07 1.91  50.1 -0.432 18.95 19.47 02a59072o0851o
59078.610820  17.216  0.026   472   12 o  0   1.27  68.84696  55.37619  1296.36  8830.27 2.07 1.96 -42.5 -0.418 19.51 20.83 01a59078o0821o
59078.616788  17.201  0.025   478   12 o  0   1.50  68.84696  55.37619  1280.67  8791.90 2.04 1.89 -29.4 -0.418 19.54 20.79 01a59078o0833o
59078.622785  17.259  0.031   453   14 o  0   1.00  68.84696  55.37619  1335.49  8871.65 2.13 1.94 -37.2 -0.424 19.41 20.56 01a59078o0846o
59078.628774  17.241  0.043   461   20 o  0   0.87  68.84696  55.37619  1355.13  8755.12 2.11 1.92 -38.6 -0.412 19.01 19.69 01a59078o0859o
59082.602855  17.301  0.032   436   14 o  0   1.26  68.84696  55.37619  8469.68  5223.03 2.72 2.68  41.2 -0.384 19.28 20.56 01a59082o0815o
59082.609344  17.302  0.034   436   15 o  0   0.91  68.84696  55.37619  8454.88  5180.13 2.69 2.53   2.9 -0.372 19.25 20.54 01a59082o0829o
59082.624589  17.320  0.038   428   16 o  0   0.92  68.84696  55.37619  8508.54  5260.14 2.48 2.40  10.3 -0.375 19.27 20.34 01a59082o0861o
59082.628374  17.268  0.037   450   16 o  0   1.34  68.84696  55.37619  8526.20  5146.33 2.41 2.38 -78.1 -0.396 19.08 19.95 01a59082o0869o
59086.568607  17.276  0.030   446   13 o  0   1.18  68.84696  55.37619  8478.28  5225.81 2.21 2.18  -4.8 -0.413 19.49 20.68 01a59086o0745o
59086.571844  17.312  0.028   432   12 o  0   1.85  68.84696  55.37619  8458.80  5189.08 2.29 2.24  -8.5 -0.401 19.46 20.70 01a59086o0752o
59086.577376  17.250  0.027   457   12 o  0   1.47  68.84696  55.37619  8516.69  5265.96 2.18 2.17  89.8 -0.391 19.51 20.73 01a59086o0764o
59086.587541  17.246  0.025   459   11 o  0   1.84  68.84696  55.37619  8538.34  5148.67 2.37 2.31  -3.2 -0.388 19.49 20.80 01a59086o0786o
59088.603489  17.653  0.036   315   11 c  0   1.09  68.84696  55.37619  1664.04  9986.77 2.45 2.20 -57.6 -0.460 19.67 21.67 02a59088o0808c
59088.613426  17.680  0.035   308   11 c  0   2.01  68.84696  55.37619  1681.73 10024.63 2.60 2.27 -52.4 -0.454 19.63 21.66 02a59088o0829c
59088.626125  17.743  0.040   290   12 c  0   1.42  68.84696  55.37619  1615.52  9946.63 2.51 2.28 -57.2 -0.452 19.58 21.38 02a59088o0856c
59088.632088  17.649  0.052   316   16 c  0   1.43  68.84696  55.37619  1593.37 10063.42 2.50 2.30 -56.5 -0.459 19.14 20.54 02a59088o0869c
59090.587363  17.231  0.027   465   13 o  0   0.91  68.84696  55.37619  2683.50   806.39 2.12 1.95  -7.2 -0.405 19.71 21.16 01a59090o0794o
59090.597181  17.259  0.025   453   11 o  0   1.02  68.84696  55.37619  2660.46   770.94 2.17 2.00   4.1 -0.409 19.70 21.19 01a59090o0813o
59090.600866  17.242  0.026   460   12 o  0   1.44  68.84696  55.37619  2721.11   846.98 2.23 1.99  -9.2 -0.394 19.69 21.20 01a59090o0821o
59090.613068  17.287  0.023   442   10 o  0   1.93  68.84696  55.37619  2733.57   731.89 2.27 2.03  -3.7 -0.397 19.66 21.19 01a59090o0846o
59092.585060  17.266  0.044   450   20 o  0   1.31  68.84696  55.37619  5794.18  3382.65 2.68 2.42  54.7 -0.396 18.83 19.68 02a59092o0790o
59092.588300  17.202  0.045   478   22 o  0   0.97  68.84696  55.37619  5812.61  3422.25 2.61 2.16  45.5 -0.435 18.96 19.70 02a59092o0797o
59092.598262  17.206  0.043   476   21 o  0   0.84  68.84696  55.37619  5760.97  3342.94 2.48 2.07  47.8 -0.433 19.03 19.82 02a59092o0818o
59092.608843  17.217  0.033   471   16 o  0   1.57  68.84696  55.37619  5739.34  3458.66 2.33 1.91  46.8 -0.457 19.22 20.07 02a59092o0841o
59096.563716  17.204  0.042   477   20 o  0   1.66  68.84696  55.37619  5788.33  3380.43 2.41 1.91  44.0 -0.455 18.93 19.49 02a59096o0742o
59096.567419  17.201  0.035   478   17 o  0   2.02  68.84696  55.37619  5808.45  3419.29 2.28 1.87  44.6 -0.460 18.99 19.56 02a59096o0750o
59096.573857  17.195  0.041   481   20 o  0   1.10  68.84696  55.37619  5753.15  3342.54 2.25 1.86  47.5 -0.458 18.99 19.56 02a59096o0764o
59096.578932  17.331  0.054   424   23 o  0   0.90  68.84696  55.37619  5731.50  3459.25 2.39 1.91  43.1 -0.455 18.98 19.56 02a59096o0775o
59100.606938  17.295  0.037   438   16 o  0   1.44  68.84696  55.37619  7472.72  1421.09 2.13 2.01 -79.2 -0.425 19.17 19.97 02a59100o0779o
59100.617799  17.305  0.039   434   17 o  0   1.29  68.84696  55.37619  7494.11  1457.24 2.64 2.38 -55.3 -0.401 19.01 19.98 02a59100o0802o
59100.627072  17.226  0.042   467   20 o  0   0.88  68.84696  55.37619  7440.90  1383.97 2.58 2.26 -59.6 -0.420 19.05 19.95 02a59100o0822o
59100.636534  17.254  0.041   455   19 o  0   2.08  68.84696  55.37619  7421.79  1504.65 2.33 2.12 -62.7 -0.425 18.75 19.27 02a59100o0842o
59102.582754  17.205  0.026   476   12 o  0   1.76  68.84696  55.37619  4748.55   683.48 1.99 1.85  14.7 -0.428 19.50 20.33 01a59102o0777o
