###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59101.519211 -21.740  1.398    -7   10 o  0   7.69  29.86137  30.72672  9408.51  3841.80 2.04 2.02  26.5 -0.421 19.59 20.43 01a59101o0618o
59101.522461 -21.745  1.512    -7   11 o  0   9.67  29.86137  30.72672  9389.03  3803.14 2.05 2.03 -61.1 -0.424 19.56 20.41 01a59101o0625o
59101.525681 -21.288  1.289   -11   14 o  0  10.12  29.86137  30.72672  9447.68  3882.19 2.03 1.99  -0.1 -0.421 19.59 20.41 01a59101o0632o
59101.549941  20.756  0.760    18   14 o  0   4.79  29.86137  30.72672  9463.88  3767.21 2.22 2.12 -32.3 -0.409 19.53 20.39 01a59101o0679o
59103.548562  21.164  0.828    12   10 o  0   4.63  29.86137  30.72672  6261.25  2066.66 1.99 1.91  49.9 -0.441 19.62 20.80 02a59103o0716o
59103.552116  16.499  0.011   912   10 o  0 613.69  29.86137  30.72672  6239.87  2027.06 1.95 1.88  39.8 -0.438 19.59 20.81 02a59103o0723o
59103.562050  22.201  2.170     5   10 o  0   6.45  29.86137  30.72672  6298.48  2107.89 1.97 1.88  47.1 -0.437 19.59 20.78 02a59103o0743o
59103.567749 -21.238  0.836   -12   10 o  0   4.56  29.86137  30.72672  6318.51  1991.02 1.97 1.89  56.7 -0.441 19.60 20.79 02a59103o0755o
59105.492198  21.312  0.797    11    9 o  0   2.35  29.86137  30.72672  1996.91  1789.83 1.82 1.72  46.3 -0.438 19.84 21.14 01a59105o0582o
59105.505580  22.375  2.228     4    9 o  0   2.01  29.86137  30.72672  1973.94  1753.03 1.80 1.72  22.9 -0.435 19.83 21.08 01a59105o0610o
59105.520940  19.606  0.208    52   11 o  0   7.01  29.86137  30.72672  2032.93  1831.74 2.02 1.84   8.8 -0.426 19.77 21.16 01a59105o0640o
59105.529059  19.969  0.249    37    9 o  0   4.37  29.86137  30.72672  2049.83  1714.45 2.01 1.96   4.6 -0.425 19.70 21.04 01a59105o0657o
59107.537739  22.582  3.231     3   11 c  0   3.65  29.86137  30.72672  4388.63  8356.61 2.44 2.42   2.8 -0.406 19.74 21.80 02a59107o0665c
59107.540943 -21.677  0.983    -8    8 c  0   7.17  29.86137  30.72672  4370.27  8316.34 2.46 2.40 -15.9 -0.407 19.71 21.80 02a59107o0672c
59107.561425  24.826 19.667     0    8 c  0   3.22  29.86137  30.72672  4422.11  8395.30 2.56 2.53  33.9 -0.402 19.72 21.76 02a59107o0714c
59107.568670  21.313  0.929    11   10 c  0   7.07  29.86137  30.72672  4442.48  8276.87 2.42 2.40  17.0 -0.406 19.75 21.75 02a59107o0729c
59109.477166 -22.517  2.463    -4    9 o  0   5.74  29.86137  30.72672  1996.82  1789.68 2.10 1.98  10.1 -0.405 19.75 21.22 01a59109o0556o
