###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57243.319779  16.644  0.034   798   27 c  0   1.36 272.40281  -9.97095   598.01 10111.07 4.10 3.91 -24.9 -0.435 19.38 21.21 02a57243o0117c
57243.320515  16.685  0.039   770   30 c  0   1.71 272.40281  -9.97095 10491.75 10135.27 4.22 3.77 -77.3 -0.435 19.36 21.19 02a57243o0118c
57243.326908  16.632  0.030   808   24 c  0   2.31 272.40281  -9.97095   600.41 10113.33 4.17 4.03 -27.7 -0.423 19.36 21.20 02a57243o0126c
57243.346168  16.674  0.038   777   30 c  0   1.58 272.40281  -9.97095 10491.92 10141.02 4.32 3.85 -76.1 -0.440 19.36 21.22 02a57243o0153c
57244.322781  16.522  0.029   893   26 c  0   1.86 272.40281  -9.97095   647.92 10112.42 4.03 3.85 -10.4 -0.436 19.38 21.20 02a57244o0084c
57244.330222  16.563  0.031   861   27 c  0   1.87 272.40281  -9.97095   649.19 10110.60 4.03 3.86  -9.3 -0.468 19.40 21.23 02a57244o0094c
57245.314910  16.450  0.030   955   29 c  0   1.88 272.40281  -9.97095   643.71 10114.71 4.03 3.89 -29.3 -0.432 19.35 21.15 02a57245o0107c
57245.322830  16.433  0.029   970   28 c  0   1.64 272.40281  -9.97095   642.33 10115.11 4.18 4.02 -26.6 -0.425 19.33 21.15 02a57245o0117c
57246.314148  16.356  0.022  1041   23 c  0   2.75 272.40281  -9.97095  3267.00   469.34 4.34 3.73 -15.3 -0.461 19.47 21.38 02a57246o0105c
57246.334560  16.408  0.025   992   24 c  0   2.29 272.40281  -9.97095  3259.22   469.60 4.31 3.69 -16.6 -0.470 19.51 21.44 02a57246o0133c
57246.360640  16.354  0.022  1043   23 c  0   2.60 272.40281  -9.97095  1809.18  1928.34 4.46 3.83 -26.2 -0.421 19.44 21.37 02a57246o0168c
57246.379701  16.385  0.025  1014   26 c  0   1.77 272.40281  -9.97095  1808.77  1932.52 4.38 3.77 -27.5 -0.425 19.39 21.24 02a57246o0193c
57288.213798  13.888  0.010 10110  102 o  0   5.62 272.40281  -9.97095  3270.80   486.26 3.97 3.52 -61.7 -0.467 17.85 18.28 02a57288o0007o
57288.216276  13.908  0.009  9930   89 o  0   4.29 272.40281  -9.97095   640.99 10131.44 4.12 3.89 -21.8 -0.472 18.01 18.59 02a57288o0011o
57288.221203  13.880  0.007 10183   71 o  0  13.63 272.40281  -9.97095  3269.08   482.06 3.91 3.47 -54.9 -0.479 18.34 19.17 02a57288o0019o
57288.226199  13.935  0.008  9686   74 o  0   6.14 272.40281  -9.97095   639.34 10123.45 4.44 3.92 -42.3 -0.455 18.32 19.21 02a57288o0027o
57288.235110  13.876  0.007 10226   70 o  0   9.66 272.40281  -9.97095  1808.38  1931.72 4.31 3.55 -37.5 -0.530 18.41 19.37 02a57288o0041o
57288.238258  13.625  0.234 12877 3008 o  0   0.02 272.40281  -9.97095 10524.44 10147.26 4.20 3.73 -81.8 -0.542 18.27 19.16 02a57288o0046o
57288.253660  13.857  0.006 10408   67 o  0   9.26 272.40281  -9.97095  1805.03  1930.30 4.57 3.48 -33.7 -0.532 18.40 19.36 02a57288o0070o
57289.214571  13.872  0.009 10262   88 o  0   7.94 272.40281  -9.97095  3263.19   484.34 3.86 3.40 -46.4 -0.496 18.10 18.77 02a57289o0034o
57289.215805  13.925  0.009  9769   92 o  0   3.76 272.40281  -9.97095   635.03 10128.41 4.21 3.83 -34.7 -0.461 18.10 18.84 02a57289o0036o
57289.217071  13.349  0.195 16618 3244 o  0   0.17 272.40281  -9.97095 10527.24 10153.57 4.13 3.75  86.3 -0.458 18.11 18.84 02a57289o0038o
57289.224019  13.853  0.027 10440  283 o  0   1.38 272.40281  -9.97095  3256.47   482.12 3.93 3.43 -38.4 -0.477 16.93 17.13 02a57289o0049o
57289.227464  14.129  0.062  8095  504 o  0   1.01 272.40281  -9.97095   625.28 10124.24 4.50 3.88 -43.6 -0.481 16.04 15.99 02a57289o0054o
